tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
691,2,2,0.785,30,30,0.0082
692,2,2,0.785,30,30,0.00716
693,2,2,0.785,30,30,0.00574
694,2,2,0.785,30,30,0.01659
695,2,2,0.785,30,30,0.04505
696,2,2,0.785,30,30,0.03799
697,2,2,0.785,30,30,0.03204
698,2,3,0.785,30,30,0.02583
699,2,3,0.785,30,30,0.02182
700,2,3,0.785,30,30,0.01842
701,2,3,0.785,30,30,0.02443
702,2,3,0.785,30,30,0.02735
703,2,3,0.785,30,30,0.02239
704,2,3,0.785,30,30,0.01856
705,2,3,0.785,30,30,0.01568
706,2,3,0.785,30,30,0.0129
707,2,3,0.785,30,30,0.01121
708,2,3,0.785,30,30,0.01061
709,2,1,0.367,31,31,0.0089
710,2,2,0.785,31,31,0.00736
711,2,2,0.785,31,31,0.00597
712,2,2,0.785,31,31,0.005
713,2,2,0.785,31,31,0.00417
714,2,3,0.785,31,31,0.00719
715,2,3,0.785,31,31,0.03272
716,2,3,0.785,31,31,0.02798
717,2,3,0.785,31,31,0.02233
718,2,3,0.785,31,31,0.01856
719,2,3,0.785,31,31,0.01615
